2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Remembering Damian Kust...' -> sport=tennis, category=default, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Machac jumps back into Top 25 following ...' -> sport=tennis, category=default, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Wild card Wawrinka rallies into Australi...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Fonseca on how ‘a much more mature Joao'...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Inside the Rei Sakamoto Reivolution...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'When does Sinner play Tuesday at the Aus...' -> sport=tennis, category=schedule, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Daniil’s opening dance! Medvedev races i...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Auger-Aliassime retires at Australian Op...' -> sport=tennis, category=stats, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Nadal to headline 'Night of Legends' at ...' -> sport=tennis, category=match_result, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Why Iraola's Bournemouth future is uncer...' -> sport=football_eu, category=transfer, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'The day I discovered the Everton contrac...' -> sport=football_eu, category=transfer, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Bournemouth sign midfielder Toth for £10...' -> sport=football_eu, category=transfer, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Huddersfield appoint Manning as head coa...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Marseille in talks with Arsenal over Nwa...' -> sport=football_eu, category=transfer, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'How is Premier League doing in race for ...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Stunning late goal earns Brighton draw a...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Salah future down to manager and club - ...' -> sport=football_eu, category=default, status=EN_DESARROLLO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Konate's contract not settled - Tuesday'...' -> sport=football_eu, category=transfer, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Man Utd's complicated relationship with ...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Five things in the EFL: Rhythm and blues...' -> sport=football_eu, category=injury, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'City Ground to host England-Iceland qual...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: ''Everything Spurs do ends up feeling lik...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Brighton equaliser more than deserved - ...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Late goal 'very harsh' on Bournemouth - ...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: ''We had a good conversation' - Frank on ...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Will Frank and Glasner see the season ou...' -> sport=football_eu, category=injury, status=EN_DESARROLLO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Who has made Troy's Premier League team ...' -> sport=football_eu, category=default, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Saved by 'special talent' - but did pena...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Regulator report to review parachute pay...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Man City sign Guehi from Palace - what w...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Who will win title race between Hearts, ...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Senegal reserve keeper jokes after Afcon...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Barry secures deserved win for Everton a...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Rashford scores but Barcelona suffer sho...' -> sport=football_eu, category=breaking, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Everton disallowed goal frustrating but ...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Watch: Highlights as Celtic beat Auchinl...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Newcastle miss out on top-five spot in d...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Which managers might be free in the summ...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Dalot 'would have been given red card in...' -> sport=football_eu, category=controversy, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Chelsea host Manchester United in Women'...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Is a Panenka ever the right choice for a...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Quiz: Name every team to have played in ...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Under-pressure Frank 'feeling trust' of ...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'France forward Cascarino joins London Ci...' -> sport=football_eu, category=transfer, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Everton win over Villa 'incredibly satis...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Villa did not deliver against 'fantastic...' -> sport=football_eu, category=match_result, status=EN_DESARROLLO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Olise shines as Bayern score five second...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Edwards sees hope for Wolves after 'spir...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Man Utd players 'really care' - Carrick ...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: ''We are not top-five contenders' - is Ja...' -> sport=football_eu, category=transfer, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Football Daily...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Wilson set to stay at West Ham despite e...' -> sport=football_eu, category=transfer, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Tottenham's Davies to have surgery on br...' -> sport=football_eu, category=injury, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Man bailed after alleged amateur footbal...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Will NI's manager search damage World Cu...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: ''Shameful' and 'terrible look' - the cha...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Carrick gave fans 'taste' of Ferguson er...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Fans may be allowed to buy alcohol at Sc...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Scotland confirm Japan and Curacao Hampd...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Red cards, VAR and offside laws facing I...' -> sport=football_eu, category=controversy, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: ''Abandoned' or 'business' - was Glasner ...' -> sport=football_eu, category=default, status=EN_DESARROLLO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: ''Arsenal will never forgive themselves i...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: ''Results, results' - how Guardiola outla...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Boots from Easter Bunny and teenage part...' -> sport=football_eu, category=default, status=EN_DESARROLLO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'From Fiji to Latvia - are cross-border l...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Is Wenger's daylight idea the solution t...' -> sport=football_eu, category=controversy, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Transfers - January 2026...' -> sport=football_eu, category=injury, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Manager ins and outs - 2025-26 season...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Toby Jones presents must-see Dad's Army ...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Can January signings play in the Champio...' -> sport=football_eu, category=match_result, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'How much has Guardiola spent on defender...' -> sport=football_eu, category=default, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'What is it like to be a caretaker manage...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Who is Manchester City debutant Max Alle...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Why is there no VAR in the FA Cup third ...' -> sport=football_eu, category=controversy, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'What is the Women's Champions Cup and wh...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Is the new manager bounce real or a myth...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Hearts seal Mato deal after Shankland in...' -> sport=football_eu, category=transfer, status=CONFIRMADO
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Podcast: Basement battle in Scottish Pre...' -> sport=football_eu, category=default, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Rangers explore move for Motherwell star...' -> sport=football_eu, category=transfer, status=RUMOR
2026-01-20 14:18:01 | DEBUG    | processor.classify | classify_item:173 | Classified: 'Football worth over £800m to Scottish ec...' -> sport=football_eu, category=match_result, status=RUMOR
